Name,Location,Keyword
Drop Bear,Australia,carnivorous
Drop Bear,Australia,koala
Yara-ma-yha-who,Australia,diminutive
Yara-ma-yha-who,Australia,sucker
Yara-ma-yha-who,Australia,fingered
Yara-ma-yha-who,Australia,vampire
Dirawong,Australia,goannspirit
Bunyip,Australia,horse
Bunyip,Australia,walrus
Bunyip,Australia,hybrid
Bunyip,Australia,lake
Bunyip,Australia,monster
Yowie,Australia,nocturnal
Yowie,Australia,human ape
Yowie,Australia,hybrid
Rainbow Serpent,Australia,snake
Minka Bird,Australia,death
Minka Bird,Australia,spirit
Mimi,Australia,extremely
Mimi,Australia,elongated
Mimi,Australia,humanoid
Mimi,Australia,rock
Mokoi,Australia,malevolent
Mokoi,Australia,spirit
Mokoi,Australia,kills
Mokoi,Australia,sorcerers
Muldjewangk,Australia,water
Muldjewangk,Australia,monster
Tepegoz,Azerbaijan,azerbaijani
Tepegoz,Azerbaijan,mythical
Tepegoz,Azerbaijan,creature
Tepegoz,Azerbaijan,similar
Tepegoz,Azerbaijan,cyclops
Tepegoz,Azerbaijan,polyphemus
Ahuizotl,Mexico,anthropophagous
Ahuizotl,Mexico,dog
Ahuizotl,Mexico,monkey
Ahuizotl,Mexico,hybrid
Xiuhcoatl,Mexico,drought
Xiuhcoatl,Mexico,spirit
Cihuateteo,Mexico,ghost
Cihuateteo,Mexico,women
Cihuateteo,Mexico,died
Cihuateteo,Mexico,childbirth
Xelhua,Mexico,giant
Quetzalcoatl,Mexico,mexico
Quetzalcoatl,Mexico,god
Quetzalcoatl,Mexico,feathered
Quetzalcoatl,Mexico,serpent
Cipactli,Mexico,semonster
Cipactli,Mexico,crocodile
Cipactli,Mexico,fish
Cipactli,Mexico,hybrid
Tzitzimitl,Mexico,skeletal
Tzitzimitl,Mexico,star
Tzitzimitl,Mexico,spirit
Chaneque,Mexico,little
Chaneque,Mexico,people and
Chaneque,Mexico,nature
Chaneque,Mexico,spirits
Onza,Mexico,wild
Onza,Mexico,cat
Onza,Mexico,possibly
Onza,Mexico,subspecies
Onza,Mexico,of cougar
Chickcharney,Bahamas,bird
Chickcharney,Bahamas,mammal
Chickcharney,Bahamas,hybrid
Leyak,Bali,anthropophagous
Leyak,Bali,flying
Leyak,Bali,head
Leyak,Bali,entrails
Barong,Bali,tutelary
Barong,Bali,spirit
Dhampir,Balkans,human/vampire
Dhampir,Balkans,hybrid
Žaltys,Estonia,serpentine
Žaltys,Estonia,fertility
Žaltys,Estonia,spirit
Lauma,Estonia,sky
Lauma,Estonia,spirit
Basajaun,Spain,ancestral
Basajaun,Spain,megalith
Basajaun,Spain,building
Basajaun,Spain,race
Aatxe,Spain,bull
Aatxe,Spain,spirit
Herensuge,Spain,dragon
Jentil,Spain,megalith
Jentil,Spain,building
Jentil,Spain,giant
Tartalo,Spain,one
Tartalo,Spain,eyed
Tartalo,Spain,giant
Galtzagorriak,Spain,small
Galtzagorriak,Spain,demonic
Galtzagorriak,Spain,servants
Iratxoak,Spain,small
Iratxoak,Spain,demonic
Iratxoak,Spain,servants
Odei,Spain,storm
Odei,Spain,spirit
Lamiak,Spain,water
Lamiak,Spain,spirit
Lamiak,Spain,bird
Lamiak,Spain,feet
Gaueko,Spain,wolf
Gaueko,Spain,capable
Gaueko,Spain,walking
Gaueko,Spain,upright
Mairu,Spain,megalith
Mairu,Spain,building
Mairu,Spain,giant
Byangoma,Bengladesh,fortune
Byangoma,Bengladesh,telling
Byangoma,Bengladesh,birds
Aleya,Bengladesh,spirit
Aleya,Bengladesh,dead
Aleya,Bengladesh,fisherman
Bestial beast,Brazil,centauroid
Bestial beast,Brazil,specter
Encantado,Brazil,dolphin
Encantado,Brazil,human shapeshifter
Iara,Brazil,female
Iara,Brazil,water
Iara,Brazil,spirit
Headless Mule,Brazil,fire
Headless Mule,Brazil,spewing
Headless Mule,Brazil,headless
Headless Mule,Brazil,spectral
Headless Mule,Brazil,mule
Blue Crow,Brazil,giant
Blue Crow,Brazil,amazonibird
Boi-tatá,Brazil,giant
Boi-tatá,Brazil,snake
Saci,Brazil,one
Saci,Brazil,legged
Saci,Brazil,nature
Saci,Brazil,spirit
Mapinguari,Brazil,giant
Mapinguari,Brazil,sloth
Iannic-ann-ôd,France,ghost
Iannic-ann-ôd,France,drowned
Iannic-ann-ôd,France,person
Korrigan,France,little
Korrigan,France,people and
Korrigan,France,nature
Korrigan,France,spirits
Morgens,France,water
Morgens,France,spirits
Black Dog,Britain,canine
Black Dog,Britain,death
Black Dog,Britain,spirit
Karakoncolos,Bulgaria,troublesome
Karakoncolos,Turkey,spirit
Chinthe,Myanmar,temple
Chinthe,Myanmar,guarding
Chinthe,Myanmar,feline
Ogopogo,Canada,canadian
Ogopogo,Canada,lake
Ogopogo,Canada,monster
Mugwump,Canada,fish
Mugwump,Canada,lake
Mugwump,Canada,monster
Fish-man,Spain,amphibious
Fish-man,Spain,scaled
Fish-man,Spain,humanoid
Trenti,Spain,diminutive
Trenti,Spain,demon
Ramidreju,Spain,extremely
Ramidreju,Spain,long
Ramidreju,Spain,weasel
Ramidreju,Spain,animal
Ojáncanu,Spain,giant
Ojáncanu,Spain,cyclops
Ojáncanu,Spain,embodies
Ojáncanu,Spain,evil
Cuegle,Spain,monstrous
Cuegle,Spain,three
Cuegle,Spain,armed
Cuegle,Spain,humanoid
Dip,Spain,demonic
Dip,Spain,vampiric
Dip,Spain,dog
Víbria,Spain,dragon
Víbria,Spain,breasts
Víbria,Spain,eagle
Víbria,Spain,beak
Aloja,Spain,female
Aloja,Spain,water
Aloja,Spain,spirit
Drac,Spain,lion
Drac,Spain,bull
Drac,Spain,faced
Drac,Spain,dragon
Pesanta,Spain,nightmare
Pesanta,Spain,demon
Pesanta,Spain,form
Pesanta,Spain,cat
Pesanta,Spain,dog
Negret,Spain,little
Negret,Spain,people coins
Bugul Noz,Ireland,extremely
Bugul Noz,Ireland,ugly
Bugul Noz,Ireland,but
Bugul Noz,Ireland,kind
Bugul Noz,Ireland,forest
Bugul Noz,Ireland,spirit
Leanan sidhe,Ireland,fairy
Leanan sidhe,Ireland,lover
Fuath,Ireland,malevolent
Fuath,Ireland,water
Fuath,Ireland,spirit
Baobhan Sith,Ireland,beautiful
Baobhan Sith,Ireland,vampiric
Baobhan Sith,Ireland,seductresses
Baobhan Sith,Ireland,prey
Baobhan Sith,Ireland,young
Baobhan Sith,Ireland,travelers
Mbwiri,Central Africa,possessing
Mbwiri,Central Africa,demon
Eloko,Central Africa,little
Eloko,Central Africa,people and
Eloko,Central Africa,malevolent
Eloko,Central Africa,nature
Eloko,Central Africa,spirits
Cadejo,Central America,cow
Cadejo,Central America,sized
Cadejo,Central America,dog
Cadejo,Central America,goat
Cadejo,Central America,hybrid
Alicanto,Chile,bird
Alicanto,Chile,eats
Alicanto,Chile,gold
Alicanto,Chile,silver
Yaoguai,China,animalistic
Yaoguai,China,demon
Yaoguai,China,fallen
Yaoguai,China,gods
Ba Jiao Gui,China,banantree
Ba Jiao Gui,China,spirit
Wu Tou Gui,China,beheaded
Wu Tou Gui,China,ghost
Tianlong,China,celestial
Tianlong,China,dragon
Hundun,China,chaos
Hundun,China,spirit
Fenghuang,China,china
Fenghuang,China,phoenix
Fenghuang,China,female
Fenghuang,China,marriage
Fenghuang,China,symbol
Fei Lian,China,china
Fei Lian,China,wind
Fei Lian,China,god
Yuan Gui,China,distressed
Yuan Gui,China,ghost
Jiaolong,China,dragon
Long Ma,China,dragon
Long Ma,China,horse
Long Ma,China,hybrid
Qilin,China,dragon
Qilin,China,ox
Qilin,China,deer
Qilin,China,hybrid
Batsu,China,drought
Batsu,China,spirit
Shui Gui,China,drowned
Shui Gui,China,ghost
Dilong,China,earth
Dilong,China,dragon
Bashe,China,elephant
Bashe,China,swallowing
Bashe,China,serpent
Zh? Què,China,fire
Zh? Què,China,elemental
Zh? Què,China,bird
Gui Po,China,ghost
Gui Po,China,manifests
Gui Po,China,old
Gui Po,China,woman
Gui Shu,China,ghostly
Gui Shu,China,tree
Gui Shu,China,confuses
Gui Shu,China,travelers
Gui Shu,China,moving
Peng,China,giant
Peng,China,bird
Kun,China,giant
Kun,China,fish
Dragon turtle,China,giant
Dragon turtle,China,turtle
Dragon turtle,China,dragon
Dragon turtle,China,head
Taotie,China,greed
Taotie,China,spirit
Diao Si Gui,China,hanged
Diao Si Gui,China,ghost
Xing Tian,China,headless
Xing Tian,China,giant
Pi yao,China,horned
Pi yao,China,dragon
Pi yao,China,lion
Pi yao,China,hybrid
Er Gui,China,hungry
Er Gui,China,ghost
Jiangshi,China,life
Jiangshi,China,draining
Jiangshi,China,reanimated
Jiangshi,China,corpse
Tiangou,China,meteoric
Tiangou,China,dog
Jiufeng,China,nine
Jiufeng,China,headed
Jiufeng,China,bird
Jiufeng,China,hubei
Jiu tou niao,China,nine
Jiu tou niao,China,headed
Jiu tou niao,China,demonic
Jiu tou niao,China,bird
Huli jing,China,nine
Huli jing,China,tailed
Huli jing,China,fox
Huli jing,China,spirit
Jian,China,one
Jian,China,eyed
Jian,China,one
Jian,China,winged
Jian,China,bird
Kui,China,one
Kui,China,legged
Kui,China,monster
Zhulong,China,pig
Zhulong,China,headed
Zhulong,China,dragon
Nian,China,predatory
Nian,China,animal
Shishi,China,protective
Shishi,China,animal
Shang-Yang,China,rain
Shang-Yang,China,bird
Shen,China,shapeshifing
Shen,China,seamonster
Bai Ze,China,talking
Bai Ze,China,beast
Bai Ze,China,knowledge
Bai Ze,China,harmful
Bai Ze,China,spirits
Penghou,China,tree
Penghou,China,spirit
Luduan,China,truth
Luduan,China,detecting
Luduan,China,animal
Fucanglong,China,underworld
Fucanglong,China,dragon
Nü Gui,China,vengeful
Nü Gui,China,female
Nü Gui,China,ghost
You Hun Ye Gui,China,wandering
You Hun Ye Gui,China,ghost
Panlong,China,water
Panlong,China,dragon
Water monkey,China,water
Water monkey,China,spirit
Shenlong,China,weather
Shenlong,China,dragon
Pixiu,China,winged
Pixiu,China,lion
Mogwai,China,vengeful
Mogwai,China,ghost demon
Viruñas,Colombia,handsome
Viruñas,Colombia,demon
Hombre Caiman,Colombia,human
Hombre Caiman,Colombia,alligator
Hombre Caiman,Colombia,hybrid
Pollo Maligno,Colombia,meating
Pollo Maligno,Colombia,chicken
Pollo Maligno,Colombia,spirit
La Tunda,Colombia,nature
La Tunda,Colombia,spirit
La Tunda,Colombia,seduces
La Tunda,Colombia,kills
La Tunda,Colombia,men
La Mojana,Colombia,shapeshifting
La Mojana,Colombia,female
La Mojana,Colombia,water
La Mojana,Colombia,spirit
Candileja,Colombia,spectral
Candileja,Colombia,fiery
Candileja,Colombia,hag
Madremonte,Colombia,nature
Madremonte,Colombia,guardian
Moss people,Germany,little
Moss people,Germany,people and
Moss people,Germany,tree
Moss people,Germany,spirits
Valravn,Denmark,supernatural
Valravn,Denmark,raven
Ciguapa,Dominican Republic,malevolent
Ciguapa,Dominican Republic,seductress
Witte Wieven,Netherlands,female
Witte Wieven,Netherlands,ancestral
Witte Wieven,Netherlands,spirit
Bokkenrijders,Netherlands,ghosts
Bokkenrijders,Netherlands,devils
Bokkenrijders,Netherlands,flying
Bokkenrijders,Netherlands,goats
Kabouter,Netherlands,little
Kabouter,Netherlands,people underground
Kabouter,Netherlands,mushrooms
Kabouter,Netherlands,spirits
Agogwe,East Africa,small
Agogwe,East Africa,ape
Agogwe,East Africa,humanoid
Geb,Egypt,god
Geb,Egypt,earth
Geb,Egypt,married
Geb,Egypt,nut
Bennu,Egypt,heron
Bennu,Egypt,regenerative
Bennu,Egypt,bird
Bennu,Egypt,equivalent
Ba,Egypt,soul
Ba,Egypt,deceased
Ba,Egypt,bird
Ba,Egypt,human
Ba,Egypt,headed
Ba,Egypt,bird
Mummy,Egypt,undead
Mummy,Egypt,creature
Mummy,Egypt,revives
Familiar,England,animal
Familiar,England,servant
Bugbear,England,bearlike
Bugbear,England,goblin
Black Annis,England,blue
Black Annis,England,faced
Black Annis,England,hag
Tiddy Mun,England,bog
Tiddy Mun,England,spirit
Cofgod,England,cove
Cofgod,England,god
Shug Monkey,England,dog
Shug Monkey,England,monkey
Redcap,England,evil
Redcap,England,ugly
Redcap,England,humanoid
Gog,England,giant
Gog,England,protector
Gog,England,london
Lambton Worm,England,giant
Lambton Worm,England,worm
Yeth hound,England,headless
Yeth hound,England,dog
Hob,England,house
Hob,England,spirit
Lubber fiend,England,house
Lubber fiend,England,spirit
Puck,England,house
Puck,England,spirit
Jack-In-Irons,England,malevolent
Jack-In-Irons,England,giant
Boggart,England,malevolent
Boggart,England,household
Boggart,England,spirit
Bogeyman,England,malevolent
Bogeyman,England,spirit
Hobbididance,England,malevolent
Hobbididance,England,spirit
Brag,England,malevolent
Brag,England,water
Brag,England,horse
Grindylow,England,malevolent
Grindylow,England,water
Grindylow,England,spirit
Duergar,England,malevolent little
Duergar,England,people
Bluecap,England,mine
Bluecap,England,dwelling
Bluecap,England,fairy
Yallery-Brown,England,nature
Yallery-Brown,England,spirit
Sceadugenga,England,shapeshifting
Sceadugenga,England,undead
Atomy,England,surprisingly
Atomy,England,small
Atomy,England,creature
Ettin,England,three
Ettin,England,headed
Ettin,England,giant
Knucker,England,water
Knucker,England,dragon
Asrai,England,water
Asrai,England,spirit
Magog,England,giant
Magog,England,protector
Magog,England,london
Merlin,England,elderly
Merlin,England,wizard
Grim,England,tutelary
Grim,England,spirits
Grim,England,churches
Warg,England,giant
Warg,England,demonic
Warg,England,wolf
Brownie,England,benevolent
Brownie,England,household
Brownie,England,spirit
Killmoulis,England,ugly
Killmoulis,England,mischievous
Killmoulis,England,mill
Killmoulis,England,spirit
Shellycoat,England,water
Shellycoat,England,spirit
Maa-alused,Estonia,subterranean
Maa-alused,Estonia,spirit
Wild man,Europe,hairy
Wild man,Europe,bipedal
Wild man,Europe,mlike
Wild man,Europe,creature
Changeling,Europe,humanoid
Changeling,Europe,child
Headless Horseman,Europe,humanoid
Headless Horseman,Europe,spirit
Headless Horseman,Europe,haunts
Headless Horseman,Europe,kills
Orobas,Europe,horse
Orobas,Europe,headed
Orobas,Europe,honest
Orobas,Europe,oracle
Orobas,Europe,demon
Otso,Finland,bear
Otso,Finland,spirit
Ajatar,Finland,dragon
Ajatar,Finland,snake
Ajatar,Finland,female
Ajatar,Finland,spirit
Ajatar,Finland,said
Ajatar,Finland,spread
Ajatar,Finland,diseases
Akka,Finland,female
Akka,Finland,spirits
Akka,Finland,minor
Akka,Finland,goddesses
Surma,Finland,hellhound
Piru,Finland,minor
Piru,Finland,demon
Hiisi,Finland,nature
Hiisi,Finland,guardian
Iku-Turso,Finland,semonster
Paasselkä devils,Finland,spectral
Paasselkä devils,Finland,fire
Haltija,Finland,spirit
Haltija,Finland,protects
Haltija,Finland,specific
Haltija,Finland,place
Antero Vipunen,Finland,subterranean
Antero Vipunen,Finland,giant
Näkki,Finland,water
Näkki,Finland,spirit
Etiäinen,Finland,spirit
Etiäinen,Finland,being
Etiäinen,Finland,living
Etiäinen,Finland,person
Menninkäinen,Finland,little
Menninkäinen,Finland,people and
Menninkäinen,Finland,nature
Menninkäinen,Finland,spirits
Dahu,France,deer ibex
Dahu,Switzerland,legs
Dahu,Italy,shorter
Lutin,France,amusing
Lutin,France,goblin
Peluda,France,dragon
Tarasque,France,dragon
Tarasque,France,leonine
Tarasque,France,turtle
Tarasque,France,bear
Tarasque,France,human
Cheval Gauvin,France,evil
Cheval Gauvin,France,horse
Cheval Gauvin,France,drowns
Cheval Gauvin,France,riders
Cheval Gauvin,France,similar
Cheval Gauvin,France,to kelpie
Cheval Mallet,France,evil
Cheval Mallet,France,horse
Cheval Mallet,France,runs
Cheval Mallet,France,away
Cheval Mallet,France,travelers
Ankou,France,skeletal
Ankou,France,grave
Ankou,France,watcher
Ankou,France,lantern
Ankou,France,scythe
Farfadet,France,small
Lou Carcolh,France,snake
Lou Carcolh,France,mollusk
Lou Carcolh,France,hybrid
Gargouille,France,water
Gargouille,France,dragon
Loup-garou,France,werewolf
Drac,France,winged
Drac,France,seserpent
Matagot,France,spirit
Matagot,France,animal
Matagot,France,form
Matagot,France,black
Matagot,France,cat
Nachzehrer,Germany,anthropophagous
Nachzehrer,Germany,undead
Erlking,Germany,death
Erlking,Germany,spirit
Weisse Frauen,Germany,female
Weisse Frauen,Germany,spirit
Wolpertinger,Germany,forest
Wolpertinger,Germany,animal
Wolpertinger,Germany,comprised
Wolpertinger,Germany,various
Wolpertinger,Germany,animal
Wolpertinger,Germany,parts
Waldgeist,Germany,forest
Waldgeist,Germany,spirit
Poltergeist,Germany,ghost
Poltergeist,Germany,moves
Poltergeist,Germany,objects
Doppelgänger,Germany,ghostly
Doppelgänger,Germany,double
Vielfras,Germany,gluttonous
Vielfras,Germany,dog
Vielfras,Germany,cat
Vielfras,Germany,fox
Vielfras,Germany,hybrid
Putz,Germany,house
Putz,Germany,spirit
Heinzelmännchen,Germany,household
Heinzelmännchen,Germany,spirit
Alp,Germany,male
Alp,Germany,night
Alp,Germany,demon
Drude,Germany,possessing
Drude,Germany,demon
Klabautermann,Germany,ship
Klabautermann,Germany,spirit
Kobold,Germany,little
Kobold,Germany,people and
Kobold,Germany,mine
Kobold,Germany,house
Kobold,Germany,spirits
Firedrake,Germany,dragon
Lindworm,Germany,dragon
Askefrue,Germany,female
Askefrue,Germany,tree
Askefrue,Germany,spirit
Nix,Germany,female
Nix,Germany,water
Nix,Germany,spirit
Gulon,Germany,gluttonous
Gulon,Germany,dog
Gulon,Germany,cat
Gulon,Germany,fox
Gulon,Germany,hybrid
Kofewalt,Germany,house
Kofewalt,Germany,spirit
Elf,Germany,nature
Elf,Germany,fertility
Elf,Germany,spirit
Dwarf,Germany,little
Dwarf,Germany,people nature
Dwarf,Germany,spirits
Fafnir,Germany,dwarf
Fafnir,Germany,cursed
Fafnir,Germany,dragon
Neck,Germany,female
Neck,Germany,water
Neck,Germany,spirit
Wyvern,Germany,flying
Wyvern,Germany,reptile
Wyvern,Germany,usually
Wyvern,Germany,two
Wyvern,Germany,legs
Wyvern,Germany,two
Wyvern,Germany,wings
Krampus,Germany,a christmas devil who
Krampus,Germany,punishes
Krampus,Germany,bad
Krampus,Germany,behaved
Krampus,Germany,children
Laestrygonians,Greece,anthropophagic
Laestrygonians,Greece,giants
Epimeliad,Greece,apple
Epimeliad,Greece,tree
Epimeliad,Greece,nymph
Sileni,Greece,bald
Sileni,Greece,fat
Sileni,Greece,thick
Sileni,Greece,lipped
Sileni,Greece,flat
Sileni,Greece,nosed
Sileni,Greece,followers
Sileni,Greece,of dionysus
Harpy,Greece,birdlike
Harpy,Greece,human
Harpy,Greece,death
Harpy,Greece,spirit
Eurynomos,Greece,blue
Eurynomos,Greece,black
Eurynomos,Greece,carrion
Eurynomos,Greece,eater
Eurynomos,Greece,underworld
Colchis bull,Greece,bronze
Colchis bull,Greece,hoofed
Colchis bull,Greece,bulls
Ophiotaurus,Greece,bull
Ophiotaurus,Greece,serpent
Ophiotaurus,Greece,hybrid
Psychai,Greece,butterfly
Psychai,Greece,winged
Psychai,Greece,nymphs
Psychai,Greece,daughters
Psychai,Greece,of psyche
Lamia,Greece,child
Lamia,Greece,devouring
Lamia,Greece,monster
Psychopomp,Greece,creatures
Psychopomp,Greece,spirits
Psychopomp,Greece,angels
Psychopomp,Greece,deities
Psychopomp,Greece,religions
Psychopomp,Greece,escort
Psychopomp,Greece,newly
Psychopomp,Greece,deceased
Psychopomp,Greece,souls
Psychopomp,Greece,earth
Psychopomp,Greece,afterlife
Aerico,Greece,disease
Aerico,Greece,demon
Ladon,Greece,dragon
Ladon,Greece,guarding
Ladon,Greece,golden
Ladon,Greece,apples
Ladon,Greece,the hesperides
Campe,Greece,dragon
Campe,Greece,human scorpion
Campe,Greece,hybrid
Drakaina,Greece,dragons
Drakaina,Greece,depicted
Drakaina,Greece,female
Drakaina,Greece,characteristics
Laelaps,Greece,enchanted
Laelaps,Greece,dog
Laelaps,Greece,caught
Laelaps,Greece,his
Laelaps,Greece,prey
Cerastes,Greece,extremely
Cerastes,Greece,flexible
Cerastes,Greece,horned
Cerastes,Greece,snake
Gorgon,Greece,fanged
Gorgon,Greece,snake
Gorgon,Greece,haired
Gorgon,Greece,humanoids
Gorgon,Greece,stone
Ker,Greece,female
Ker,Greece,death
Ker,Greece,spirit
Empusa,Greece,female
Empusa,Greece,demon
Empusa,Greece,waylays
Empusa,Greece,travelers
Empusa,Greece,seduces
Empusa,Greece,kills
Empusa,Greece,men
Helead,Greece,fen
Helead,Greece,nymph
Crinaeae,Greece,fountain
Crinaeae,Greece,nymph
Naiad,Greece,freshwater
Naiad,Greece,nymph
Heracles,Greece,gatekeeper
Heracles,Greece,olympus
Erymanthian Boar,Greece,giant
Erymanthian Boar,Greece,boar
Karkinos,Greece,giant
Karkinos,Greece,crab
Talos,Greece,giant
Talos,Greece,made
Talos,Greece,bronze
Antaeus,Greece,giant
Antaeus,Greece,strong
Calydonian Boar,Greece,giant
Calydonian Boar,Greece,chthonic
Calydonian Boar,Greece,boar
Teumessian Fox,Greece,gigantic
Teumessian Fox,Greece,fox
Kobalos,Greece,goblin
Kobalos,Greece,thieves
Kobalos,Greece,tricksters
Zeus,Greece,god
Zeus,Greece,lightning
Zeus,Greece,storms
Drakon,Greece,greece
Drakon,Greece,dragons
Kallikantzaroi,Greece,grotesque
Kallikantzaroi,Greece,malevolent
Kallikantzaroi,Greece,spirit
Napaeae,Greece,grotto
Napaeae,Greece,nymph
Alseid,Greece,grove
Alseid,Greece,nymph
Acephali,Greece,headless
Acephali,Greece,humanoids
Ceryneian Hind,Greece,hind
Ceryneian Hind,Greece,golden
Ceryneian Hind,Greece,antlers
Ceryneian Hind,Greece,bronze
Ceryneian Hind,Greece,brass
Ceryneian Hind,Greece,hooves
Siren,Greece,human
Siren,Greece,bird
Siren,Greece,hybrid
Ichthyocentaur,Greece,human
Ichthyocentaur,Greece,fish
Ichthyocentaur,Greece,horse
Ichthyocentaur,Greece,hybrid
Satyr,Greece,human
Satyr,Greece,goat
Satyr,Greece,hybrid
Satyr,Greece,fertility
Satyr,Greece,spirit
Panes,Greece,human
Panes,Greece,goat
Panes,Greece,hybrids
Panes,Greece,descended
Panes,Greece,god
Panes,Greece,pan
Centaur,Greece,human
Centaur,Greece,horse
Centaur,Greece,hybrid
Astomi,Greece,humanoid
Astomi,Greece,pleasant
Astomi,Greece,smells
Astomi,Greece,food
Scylla,Greece,human snake
Scylla,Greece,hybrid
Scylla,Greece,snake
Scylla,Greece,tail
Scylla,Greece,twelve
Scylla,Greece,legs
Scylla,Greece,six
Scylla,Greece,long
Scylla,Greece,necked
Scylla,Greece,snake
Scylla,Greece,heads
